Quarter,Time,Tm,Detail,KAN,CAR
1.0,13:35,Chiefs,Noah Gray 35 yard pass from Patrick Mahomes (Spencer Shrader kick),7,0
,9:24,Panthers,Eddy Pi̱eiro 30 yard field goal,7,3
,2:39,Chiefs,Spencer Shrader 25 yard field goal,10,3
2.0,14:42,Panthers,Eddy Pi̱eiro 32 yard field goal,10,6
,7:24,Chiefs,Spencer Shrader 41 yard field goal,13,6
,0:44,Chiefs,Noah Gray 11 yard pass from Patrick Mahomes (Spencer Shrader kick),20,6
,0:00,Panthers,Eddy Pi̱eiro 29 yard field goal,20,9
3.0,6:26,Panthers,David Moore 1 yard pass from Bryce Young (Eddy Pi̱eiro kick),20,16
,2:42,Chiefs,DeAndre Hopkins 3 yard pass from Patrick Mahomes (Spencer Shrader kick),27,16
4.0,12:37,Panthers,Eddy Pi̱eiro 33 yard field goal,27,19
,1:46,Panthers,Chuba Hubbard 1 yard rush (Chuba Hubbard run),27,27
,0:00,Chiefs,Spencer Shrader 31 yard field goal,30,27
