Quarter,Time,Tm,Detail,CIN,CAR
1.0,0:05,Bengals,Chase Brown 3 yard rush (Evan McPherson kick),7,0
2.0,9:31,Panthers,Chuba Hubbard 3 yard rush (Eddy Pi̱eiro kick),7,7
,7:14,Bengals,Ja'Marr Chase 63 yard pass from Joe Burrow (Evan McPherson kick),14,7
,1:09,Panthers,Xavier Legette 8 yard pass from Andy Dalton (Eddy Pi̱eiro kick),14,14
,0:01,Bengals,Zack Moss 1 yard pass from Joe Burrow (Evan McPherson kick),21,14
3.0,10:38,Bengals,Chase Brown 1 yard rush (Evan McPherson kick),28,14
,2:52,Bengals,Evan McPherson 56 yard field goal,31,14
,0:53,Panthers,Diontae Johnson 21 yard pass from Andy Dalton (Eddy Pi̱eiro kick),31,21
4.0,7:42,Panthers,Eddy Pi̱eiro 48 yard field goal,31,24
,1:14,Bengals,Evan McPherson 46 yard field goal,34,24
